"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"HOW191","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.556","0.75","0.228","0.254","0.479","0.265","0.045","0.13","0.021","0.036","0.09"
"HOW132","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","1.414","1.59","0.281","0.556","0.828","0.489","0.05","0.137","0.021","0.038",""
"LRL117","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","12.974","5.521","0.402","1.934","2.306","1.635","0.175","0.095","0.027","0.054",""
"LAV410","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.144","0.285","0.108","0.202","0.307","0.107","0.036","0.048","0.013","0.022","0.017"
"PED108","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.943","1.937","0.383","0.707","1.079","0.684","0.086","0.17","0.031","0.062","0.104"
"FOR605","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.398","0.529","0.212","0.487","0.691","0.202","0.193","0.022","0.025","0.027","0.015"
"MKG113","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","1.952","1.802","0.843","0.887","1.717","0.723","0.248","0.125","0.036","0.066","0.088"
"HWF187","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.227","0.616","0.268","0.213","0.478","0.263","0.064","0.051","0.016","0.037","0.043"
"MCK231","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","7.748","4.979","1.139","2.996","4.087","1.801","","","","",""
"ACA416","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.293","0.545","0.328","0.236","0.56","0.151","0.052","0.292","0.039","0.042","0.27"
"CDR119","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.803","2.897","0.263","0.617","0.87","0.983","0.144","0.057","0.024","0.071","0.045"
"SAN189","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.733","1.555","2.154","0.505","2.65","1.013","0.487","0.045","0.06","0.067","0.043"
"HOX148","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","2.456","2.719","1.195","1.243","2.418","1.189","0.217","0.062","0.05","0.045",""
"SEK430","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","","","","","","","","","","",""
"DIN431","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.414","0.584","1.113","0.428","1.534","0.471","0.274","0.054","0.038","0.031","0.023"
"IRL141","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.757","2.363","1.48","0.315","1.79","0.446","0.353","2.891","0.381","0.179","4.649"
"GRC474","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.209","0.502","0.231","0.461","0.684","0.172","0.182","0.081","0.027","0.026","0.029"
"EVE419","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","","","","","","","","","","",""
"HWF187","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.379","1.096","0.21","0.26","0.466","0.406","0.06","0.061","0.014","0.035","0.046"
"CNT169","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.29","0.476","0.108","0.382","0.484","0.171","0.074","0.017","0.013","0.019","0.012"
"EGB181","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.093","1.509","1.188","0.661","1.838","0.746","0.342","0.107","0.049","0.051","0.114"
"GLR468","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.537","0.577","0.139","0.25","0.385","0.205","","","","",""
"SUM156","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.045","2.748","0.486","0.625","1.101","0.523","0.169","0.65","0.095","0.087","0.301"
"ACA416","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.564","0.935","0.402","0.366","0.762","0.265","0.057","0.369","0.048","0.049","0.334"
"MOR409","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.222","0.651","0.147","0.258","0.4","0.186","0.027","0.113","0.018","0.047","0.073"
"WST109","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.155","1.804","0.191","0.564","0.746","0.573","0.046","0.091","0.015","0.04","0.058"
"GLR468","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.185","0.295","0.137","0.18","0.314","0.117","0.103","0.029","0.022","0.038","0.019"
"CVL151","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.804","1.678","0.48","0.616","1.086","0.551","0.194","0.189","0.044","0.098","0.102"
"BEL116","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.506","2.121","0.86","1.126","1.968","0.808","0.188","0.252","0.05","0.068","0.179"
"KNZ184","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","1.284","2.956","1.793","1.388","3.158","0.954","1.307","0.087","0.061","0.08",""
"DEV412","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","0.352","0.897","0.381","1.27","1.631","0.306","0.328","0.169","0.051","0.059",""
"ALC188","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.681","1.784","0.641","0.583","1.215","0.345","0.263","0.516","0.08","0.096","0.276"
"JOT403","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.329","0.934","0.643","1.407","2.027","0.326","0.28","0.201","0.05","0.054","0.053"
"SAL133","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","1.485","1.717","1.912","0.999","2.895","1.017","0.328","0.104","0.073","0.071","0.097"
"CHE185","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","1.43","3.03","1.177","1.154","2.313","1.109","0.358","0.177","0.053","0.102","0.075"
"NPT006","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.204","0.27","0.127","0.245","0.368","0.11","0.052","0.034","0.012","0.071","0.024"
"BVL130","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","2.145","2.146","1.977","1.214","3.171","1.083","0.617","0.079","0.108","0.073","0.068"
"CAD150","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","1.243","3.015","0.337","1.134","1.453","0.817","0.202","0.201","0.047","0.091","0.054"
"STK138","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","1.0","1.416","1.924","0.752","2.664","0.894","0.592","0.08","0.155","0.064","0.097"
"VIN140","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","10.116","5.694","2.407","1.898","4.275","2.148","1.007","0.091","0.089","0.091","0.074"
"NEC602","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.264","0.49","0.233","0.429","0.656","0.191","0.389","0.032","0.024","0.039","0.026"
"MOR409","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.997","0.853","0.174","0.395","0.562","0.286","","","","",""
"JOT403","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.601","1.104","1.133","2.375","3.47","0.4","0.358","0.264","0.077","0.08","0.061"
"VII423","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","","","","","","","","","","",""
"MCK131","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","6.787","4.436","1.063","2.073","3.103","1.666","0.222","0.11","0.038","0.07","0.043"
"GAS153","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.645","1.422","0.423","0.791","1.201","0.476","0.119","0.181","0.037","0.09","0.084"
"PSU106","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","9.973","4.78","1.53","2.09","3.587","1.949","0.223","0.109","0.036","0.061",""
"CHA467","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.411","0.738","0.316","0.441","0.75","0.256","0.284","0.101","0.031","0.045","0.047"
"CHA467","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.731","1.072","0.354","0.744","1.086","0.367","0.25","0.1","0.028","0.042",""
"CAD150","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.743","2.187","0.453","0.855","1.294","0.651","0.236","0.198","0.047","0.098","0.058"
"SEK402","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.933","1.152","1.115","1.443","2.535","0.616","0.161","0.133","0.038","0.072","0.036"
"HOW132","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","1.472","1.778","0.297","0.627","0.914","0.543","","","","",""
"CVL151","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.473","2.976","0.522","0.982","1.489","0.949","0.178","0.196","0.044","0.097","0.059"
"ACA416","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.252","0.514","0.279","0.212","0.488","0.149","0.046","0.263","0.034","0.038","0.289"
"DEN417","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.289","0.278","0.051","0.056","0.106","0.089","0.022","0.045","0.009","0.014","0.049"
"CTH110","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","4.641","3.135","0.581","1.413","1.972","1.138","0.173","0.088","0.031","0.045","0.042"
"STK138","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","1.241","1.729","2.176","0.906","3.067","1.059","0.715","0.069","0.182","0.076","0.071"
"CTH110","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","1.378","1.583","0.768","0.698","1.455","0.703","0.166","0.105","0.029","0.048","0.067"
"WFM007","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","","","","","","","","","","",""
"HOX148","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.301","0.699","0.879","0.4","1.272","0.459","0.128","0.039","0.032","0.046","0.043"
"BEL116","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","9.596","4.75","1.001","2.155","3.122","1.708","0.242","0.206","0.052","0.075",""
"QAK172","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","3.552","2.629","1.001","1.107","2.09","1.006","0.39","0.093","0.074","0.061","0.051"
"CHE185","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","1.732","2.85","1.262","1.241","2.484","1.061","0.452","0.171","0.054","0.091","0.056"
"LRL117","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.662","1.221","0.476","0.541","1.008","0.485","0.141","0.063","0.021","0.055","0.045"
"VPI120","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","7.19","4.419","0.446","1.8","2.218","1.369","0.208","0.111","0.043","0.054","0.038"
"JOT403","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.329","0.862","0.753","1.407","2.137","0.302","0.297","0.216","0.053","0.06","0.056"
"GAS153","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","5.053","4.937","0.44","1.764","2.176","1.466","0.129","0.231","0.044","0.083","0.075"
"GAS153","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","1.149","2.096","0.424","0.949","1.358","0.672","0.135","0.229","0.044","0.088","0.084"
"KEF112","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.984","2.011","0.559","0.774","1.32","0.769","0.135","0.083","0.028","0.045","0.042"
"ALC188","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.898","2.288","0.632","0.782","1.401","0.472","0.277","0.537","0.087","0.101","0.238"
"IRL141","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.944","1.904","1.342","0.275","1.612","0.334","0.317","2.791","0.356","0.173","4.555"
"CAN407","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.448","0.721","0.228","0.892","1.106","0.253","0.162","0.054","0.025","0.049","0.024"
"SPD111","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","5.153","5.281","0.885","1.784","2.64","1.792","0.59","0.086","0.04","0.084",""
"MCK231","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","6.116","4.521","1.017","1.891","2.878","1.666","0.269","0.086","0.043","0.072","0.038"
"COW137","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","1.259","3.46","0.142","0.671","0.802","1.168","0.079","0.048","0.017","0.066",""
"WNC429","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.499","0.785","0.266","0.483","0.741","0.29","0.229","0.03","0.025","0.049","0.023"
"STK138","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","3.632","3.309","3.285","1.364","4.628","1.902","0.618","0.075","0.177","0.07","0.094"
"PAR107","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","5.2","4.72","0.493","1.356","1.828","1.412","0.394","0.084","0.037","0.112",""
"VOY413","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.338","0.858","0.409","0.283","0.688","0.342","0.132","0.049","0.033","0.039","0.036"
"OXF122","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","5.033","3.494","1.616","1.623","3.213","1.555","0.334","0.111","0.068","0.087","0.096"
"BEL116","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","2.873","2.938","0.825","1.459","2.261","1.082","0.233","0.192","0.049","0.084","0.106"
"DCP114","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.82","1.304","1.102","0.885","1.972","0.676","0.267","0.086","0.055","0.071","0.072"
"SPD111","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","3.558","4.055","0.558","1.234","1.773","1.339","0.415","0.062","0.038","0.075","0.035"
"PSU106","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.644","1.231","1.076","0.625","1.691","0.679","0.211","0.091","0.034","0.068","0.082"
"KNZ184","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.832","1.922","1.556","0.739","2.284","0.656","1.344","0.085","0.054","0.088","0.049"
"ESP127","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","4.396","5.114","0.436","2.076","2.479","1.69","0.204","0.121","0.032","0.082",""
"CND125","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","4.304","4.254","0.621","2.05","2.638","1.499","0.108","0.207","0.038","0.079",""
"ABT147","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","3.689","2.894","0.834","1.592","2.4","1.024","0.087","0.286","0.04","0.052","0.152"
"YOS404","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.36","0.637","0.357","0.583","0.93","0.259","0.111","0.089","0.026","0.044","0.02"
"WFM105","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.21","0.539","0.273","0.355","0.622","0.235","0.081","0.047","0.015","0.026","0.032"
"WSP144","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","6.168","3.727","1.058","2.099","3.124","1.327","0.178","0.239","0.052","0.068","0.098"
"ROM406","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.326","0.597","0.202","0.551","0.745","0.242","0.085","0.021","0.013","0.024","0.013"
"CHA467","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.361","0.826","0.319","0.442","0.753","0.284","0.232","0.107","0.032","0.052","0.046"
"ASH135","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.262","0.436","0.185","0.132","0.315","0.165","0.059","0.066","0.017","0.062","0.064"
"EGB181","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.504","0.895","1.319","0.504","1.814","0.559","0.323","0.119","0.049","0.048","0.147"
"JOT403","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.468","1.12","0.962","2.018","2.948","0.4","0.31","0.259","0.062","0.07","0.052"
"MCK131","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","2.431","2.884","0.954","1.259","2.193","1.192","0.232","0.104","0.038","0.074","0.056"
"ROM206","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.137","0.321","0.212","0.341","0.548","0.145","0.117","0.031","0.017","0.032","0.018"
"THR422","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","1.027","1.254","0.555","0.677","1.221","0.494","0.208","0.078","0.036","0.04",""
"KEF112","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.906","1.203","0.479","0.658","1.126","0.484","0.145","0.063","0.028","0.043","0.045"
"ASH235","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","1.025","1.385","0.279","0.365","0.638","0.411","0.126","0.088","0.026","0.132",""
"WFM105","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.407","0.726","0.259","0.475","0.727","0.275","0.106","0.05","0.018","0.025","0.031"
"PET427","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.088","0.758","0.311","0.981","1.277","0.277","0.223","0.069","0.027","0.033","0.031"
"VPI120","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","4.583","2.766","0.419","1.153","1.554","0.929","0.2","0.097","0.039","0.059","0.054"
"CAT175","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.295","0.625","0.466","0.496","0.954","0.301","0.085","0.072","0.019","0.033","0.051"
"KEF112","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","3.191","2.425","0.51","0.922","1.418","0.863","0.168","0.069","0.034","0.062","0.038"
"KIC003","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.597","1.323","1.513","0.505","2.01","0.44","2.205","0.074","0.057","0.091","0.056"
"CHA467","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.417","0.931","0.303","0.471","0.766","0.313","0.266","0.11","0.036","0.051","0.063"
"BUF603","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.365","0.625","0.233","0.596","0.82","0.25","0.171","0.023","0.022","0.026","0.015"
"LAV410","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.246","0.504","0.22","0.45","0.662","0.189","0.069","0.074","0.018","0.026",""
"CAN407","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.291","0.592","0.309","0.693","0.992","0.224","0.238","0.065","0.031","0.058","0.028"
"PIN414","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.236","0.663","0.602","0.37","0.966","0.15","0.14","0.501","0.081","0.069","0.494"
"ARE128","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.723","1.217","1.173","0.84","2.0","0.678","0.185","0.119","0.035","0.065","0.088"
"BVL130","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","6.38","4.207","2.545","2.428","4.935","1.819","","","","",""
"BEL116","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.503","1.09","0.932","0.81","1.73","0.489","0.182","0.213","0.047","0.064","0.15"
"CTH110","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.859","0.992","0.515","0.647","1.152","0.438","0.172","0.069","0.028","0.042","0.054"
"QAK172","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","1.004","1.339","0.929","0.816","1.733","0.633","0.264","0.076","0.056","0.069","0.058"
"HWF187","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.538","0.95","0.236","0.309","0.54","0.358","0.068","0.064","0.017","0.035","0.049"
"CTH110","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","7.229","3.469","0.898","2.229","3.091","1.326","0.191","0.098","0.032","0.045",""
"CHA467","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.309","0.72","0.291","0.416","0.7","0.24","0.338","0.141","0.037","0.055","0.073"
"KEF112","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","9.261","3.99","0.384","1.895","2.249","1.185","0.14","0.072","0.031","0.05",""
"SUM156","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.44","1.517","0.409","0.418","0.82","0.305","0.107","0.494","0.071","0.228","0.328"
"FOR605","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","","","","","","","","","","",""
"CHA467","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.643","0.956","0.368","0.642","1.0","0.337","0.328","0.092","0.034","0.049",""
"BBE401","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.755","2.179","0.391","0.648","1.029","0.625","0.372","0.133","0.038","0.054","0.02"
"OXF122","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.867","1.326","1.377","0.879","2.242","0.738","0.263","0.095","0.054","0.078","0.078"
"ALC188","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","1.558","3.335","0.751","1.217","1.948","0.684","0.295","0.581","0.101","0.115","0.22"
"GRS420","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","4.608","4.385","0.278","2.436","2.675","1.229","0.157","0.117","0.033","0.059",""
"IRL141","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.639","1.735","1.272","0.233","1.501","0.3","0.311","2.721","0.347","0.157","4.468"
"CVL151","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","1.253","2.466","0.52","0.916","1.422","0.812","0.239","0.168","0.047","0.097","0.042"
"KEF112","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","2.231","1.922","0.629","0.76","1.377","0.746","0.149","0.083","0.03","0.047","0.045"
"KEF112","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.575","1.016","0.656","0.507","1.156","0.469","0.142","0.063","0.031","0.044","0.05"
"VII423","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","","","","","","","","","","",""
"MKG113","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","7.281","3.396","0.906","1.494","2.376","1.221","0.243","0.136","0.037","0.074","0.061"
"SAL133","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","4.6","3.66","2.29","1.919","4.18","1.747","0.401","0.097","0.097","0.08","0.09"
"PIN414","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.255","0.851","0.736","0.58","1.307","0.19","0.122","0.537","0.082","0.068","0.468"
"ROM206","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.231","0.38","0.186","0.338","0.519","0.169","0.093","0.025","0.013","0.02","0.014"
"CKT136","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","6.239","3.944","0.551","1.946","2.466","1.255","0.271","0.111","0.044","0.061","0.041"
"DCP114","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","8.186","5.284","2.011","2.549","4.519","2.189","0.312","0.119","0.066","0.075",""
"CDZ171","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.931","1.476","0.726","0.854","1.567","0.57","0.309","0.114","0.043","0.078","0.058"
"ARE128","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","9.913","4.873","1.557","2.363","3.882","1.972","0.243","0.141","0.042","0.068","0.081"
"ANA115","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","5.339","3.42","1.78","1.969","3.718","1.435","","","","",""
"CON186","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","","","","","","","","","","",""
"SAL133","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","2.432","2.715","1.98","1.33","3.289","1.401","0.337","0.09","0.081","0.075","0.082"
"SEK430","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.88","1.429","1.845","1.901","3.715","0.869","0.202","0.171","0.054","0.108","0.033"
"THR422","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.633","0.854","0.523","0.487","1.002","0.349","0.36","0.075","0.056","0.044","0.038"
"CHE185","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.35","1.184","0.803","0.604","1.397","0.484","0.273","0.134","0.037","0.076","0.061"
"PET427","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.519","0.757","0.301","0.752","1.04","0.276","0.274","0.08","0.033","0.038","0.037"
"KEF112","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","2.03","2.097","0.538","0.859","1.383","0.786","0.164","0.06","0.03","0.047","0.046"
"CHE185","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","1.066","2.314","1.044","0.853","1.884","0.887","0.353","0.159","0.047","0.108","0.082"
"MOR409","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.188","0.481","0.15","0.152","0.299","0.138","0.028","0.124","0.019","0.046","0.097"
"HOX148","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.947","2.044","0.718","0.961","1.664","0.811","0.183","0.051","0.048","0.052","0.04"
"CDZ171","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","5.164","4.562","1.083","2.115","3.164","1.638","0.301","0.119","0.043","0.078",""
"GRB411","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.132","0.349","0.179","0.286","0.46","0.128","0.306","0.085","0.034","0.037","0.065"
"HOW191","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.252","0.512","0.206","0.203","0.406","0.186","0.043","0.12","0.02","0.045","0.09"
"CAD150","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","1.304","3.533","0.468","1.318","1.765","1.147","0.17","0.22","0.043","0.089",""
"WNC429","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","","","","","","","","","","","0.017"
"VIN140","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","2.388","2.047","1.403","0.961","2.349","0.882","0.786","0.107","0.068","0.079","0.077"
"KIC003","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.551","1.155","1.334","0.507","1.833","0.434","1.715","0.066","0.051","0.073","0.054"
"BWR139","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","5.618","3.816","1.137","1.618","2.729","1.32","0.145","0.444","0.072","0.078","0.216"
"BBE401","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.542","1.486","0.421","0.478","0.892","0.453","0.575","0.136","0.038","0.056","0.03"
"MEV405","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.592","0.708","0.248","1.004","1.236","0.25","0.18","0.044","0.026","0.031","0.017"
"QAK172","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","11.419","3.966","0.805","2.078","2.85","1.259","0.39","0.103","0.077","0.071","0.044"
"SHN418","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","5.045","4.076","0.371","2.059","2.397","1.276","0.13","0.054","0.024","0.045",""
"CHA467","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.404","0.921","0.33","0.562","0.884","0.33","0.307","0.104","0.035","0.047","0.055"
"RED004","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.341","0.656","0.659","0.27","0.924","0.332","0.259","0.044","0.058","0.046","0.041"
"ALC188","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.687","1.859","0.615","0.568","1.174","0.325","0.263","0.591","0.089","0.11","0.368"
"PET427","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.354","0.603","0.263","0.639","0.892","0.215","0.268","0.083","0.028","0.03","0.036"
"CAD150","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","","","","","","","","","","",""
"LYK123","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","7.86","4.767","2.676","2.175","4.816","2.131","0.518","0.105","0.099","0.075","0.1"
"LRL117","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.671","1.225","0.552","0.565","1.108","0.509","0.162","0.06","0.023","0.05","0.038"
"QAK172","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","7.337","3.618","1.195","1.812","2.978","1.293","0.472","0.095","0.087","0.091","0.05"
"MCK131","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","6.077","4.559","1.092","1.959","3.021","1.723","0.325","0.121","0.051","0.074","0.05"
"VIN140","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","9.114","4.649","2.077","1.484","3.538","1.617","1.119","0.098","0.093","0.091","0.078"
"HOX148","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","","","","","","","","","","",""
